Tweet ID,Tweets with Decoded emojis,Final Annotation
2063,محمد خلي اضحك لا تضوج بشرفك خلي اعيش اتشمت وعلي ضايج,ليست تهكم
2064,مااحب اتشمت والله شاهد لكن اللي صاير يضحك صج,تهكم
2065,الصباح اتشمت ع طلاب المدارس وفجاه اخش الاستديو احصل المقاطع حقنا ايام الثانوي وجاتني ضيقه ابغاها ترجع,تهكم
2066,كنت مبسوطه انه الدراسه رجعت عشان اتشمت ب اخواني لين تذكرت اني الي بدرسهم كلهم,تهكم
2067,ما اتشمت عظمت ليش الاجر بس :sob:,ليست تهكم
2068,متى عشان اتشمت,تهكم
2069,اتشمت,تهكم
2070,هه هذي اخر جلده للعالمي و بعد استغفر الله ماودي اتشمت بوجهك :rofl:,تهكم
2071,حوبه سهى قعدت اتشمت فيها السنه الماضيه ان ورده اللي تدرسها كيمياء وجتني ذا الترم ورفضو ينقلوني الشعبه الثانيه عند المعلمه الثانيه واحس ……,تهكم
2072,ما ابي اتشمت بس نورا ماعندها ولا اوف وانا عندي ثنين,ليست تهكم
2073,بخاطري اقول هالكلمه بس استغفر الله ما اتشمت لكن الدنيا دوواره ^^ انتظر البلوك باي ساعه واي زمان :nail_care::hand_over_mouth: ^^ ربي يحفظج بعينه اللي ماتنام يابعد هالقلب :hearts::hatching_chick:,ليست تهكم
2074,استغفر الله اخاف اتشمت ومديرتنا تكنسل,تهكم
2075,يهود شوفوها عشان عاوزه اتشمت بزياده,تهكم
2076,احلى فقره في التخرج اتشمت على المداومين,تهكم
2077,لا والله ما اتشمت ولكن الله يوفقك وتاخذي الرخصه,ليست تهكم
2078,احب اتشمت على بشاير وهيا رايحه تاخذ موعد جرعه ثانيه زي الحلوين اتوقع اصابتها بكورونا مافادتها شي,تهكم
2079,اتشمت فيك :sob:,تهكم
2080,ودي اتشمت بس تذكرت جايني الدورfa,تهكم
2081,ياخي ابي اتشمت بس اخاف برضو تدور,تهكم
2082,ماودي اتشمت لان الدنيا بتدور بسرعه انا عارفه,ليست تهكم
2083,مبي اتشمت اليوم فيديو رونالدو,ليست تهكم
2084,استغفرالله مابي اتشمت لسى م جا دوري اذا خلصت صار خير,تهكم
2085,ودي اتشمت بس بكره عندي دوام,تهكم
2086,حضرتك بتبرر غلط برد فعل جنتناقش بمنطقك يعني لو اتصرقت اسرق اللي سرقني او اتشمت اشتم ده دينيا و اخلاقيا منهجك شكرا لسعه صدرك و اسل فسها شيخ كده,ليست تهكم
2087,قسم بالله يالنصر لا اتشمت عليك اكثر من شماتي عليه الهلال وقت الخساير باذن الله طلوع من اسياء ياوضيع وبعدها ارغبك بالجوله الخامسه,تهكم
2088,ماراح اتشمت و اضحك عليك :joy::joy:,ليست تهكم
2089,متعمده تبي تتقيد بس الا ما اتشمت فيها وانا اختك هه,تهكم
2090,اتشمت بالي فاتهم البث وبكره بداوم وبيفوتني بث كوك بكيت,ليست تهكم
2091,يجيب الله يوم اتشمت :rofl:,تهكم
2092,قال طعم الكورونا ممكن يكون في شريحه وفي ناس بتامن بنظريه المؤامره وانا منها بس ما صدقتا الخبريه بس اللي عم بصير بلبنان خلاني اتاكد فعلا الناس عم تتحول ل زومبي,ليست تهكم
2093,كود كولد وار كود زومبي مين يلعب زومبي,ليست تهكم
2094,ولو شو زومبي زومبي زومبي,تهكم
2095,جاري التحول ل زومبي :zany_face: spotink :syringe::syringe:,تهكم
2096,زومبي كولد وار زومبي,ليست تهكم
2097,v ax سريع سريع n مودرن وارفير كود قيمرز twitch allfuty ps warzone كود كود كول اوف ديوتي زومبي وارزون سنايبرات كود,ليست تهكم
2098,v ax n مودرن وارفير كود قيمرز twitch allfuty ps warzone كود كود كول اوف ديوتي زومبي وارزون سنايبرات كود,ليست تهكم
2099,واخيرا بعد مونتاج اسبوعين نزل المقطع اكثر مقطع اشتغلت عليه وتعبت عليه اتمنى من الجميع يتابعه وينشره كل مكان رابط المقطع ربي يسعدكم دنيا واخره امونق اس امونج اس قصص رعب قيمنق ببجي ديد باي دايلايت ديدبايدايلايت فورتنايت فورت نايت كود زومبي,ليست تهكم
2100,مين يلعب زومبي زومبي كولد وار كود,ليست تهكم
2101,صباح الخير زومبي بلاك اوبس,ليست تهكم
2102,بعد االلقاح الثاني بعد سنه كذا راح تحول الي زومبي زومبي,تهكم
2103,"ظهر جنجا زومبي بعد احتلال البرتغاليين للبرازيل وبعد مهاجمه السواحل الاسلاميه بافريقيا الغربيه واسر اهلها ونقلهم في قيعان السفن, تطلعا منهم لتوفير الايدي العامله وكان ذلك عام م , فتم استعبادهم وتنصيرهم بالاجبار ✍🏻ظهر زومبي في عام م :warning:",ليست تهكم
2104,:loud_sound:من اين اتت كلمه زومبي :interrobang: ومن هو زومبي :interrobang::raised_hand:🏻 ✍🏻 زومبي الذي يخيفون به الاولاد ويظهرونه في شكل الميت الحي في الافلام والاعلام ☝🏻هو المسلم جنجا زومبي وهو شخصيه عظيمه وبطل من ابطال دوله الاسلام في البرازيل من اصول افريقيه,ليست تهكم
2105,تسجيل خروج:running:🏻ud:female_sign: ✌🏻an تصويري جامعه الملك خالد رحلتنا مع الجرعه الثانيه لقاح كورونا نتحول زومبي,تهكم
2106,الكتاب زومبي التصنيف روايات عالميه المؤلف جويس كارول اوتس الترجمه احمد م احمد الناشر منشورات المتوسط السعر رع :telephone_receiver:للطلب والاستفسار + التوصيل الى جميع ولايات السلطنه ودول العالم,ليست تهكم
2107,"حساب سوني فيه aptain tsubasa rash bandicoot  host ofsushima arvel avengers astof us , للبدل بحساب ثاني فيه العاب او اي احديبي يشتريه يتواصل معي كود زومبي بلس فيفا فورتنايت سوني ستور نهائي البطوله العربيه نطالب برحيل مانو",ليست تهكم
2108,مين يلعب زومبي كولد وار زومبي,ليست تهكم
2109,yy زومبي كود,ليست تهكم
2110,حي الله بالجميع elcome one n all❤ :hugs: الامارات w مودرن وارفير كود قيمرز twitch allfuty ps warzone كود كود كول اوف ديوتي زومبي وارزون سنايبرات,ليست تهكم
2111,الزومبي الي اتوقع العالم ظهورهم ب اشباه بشر طالبان ارهاب افغانستان زومبي,تهكم
2112,چنه صارت زومبي,تهكم
2113,زومبی لعنت ہو اپ لوگوں پر :raised_hand: minarepakistan,تهكم
2114,الزومبي صارو كثير قلت اطلع قبل اندعس :pleading_face::pleading_face: كود زومبي,تهكم
2115,انا مدري شكلنا اخر مصيرنا من كثر الجرعات نتحول الئ زومبي :japanese_ogre::japanese_ogre:,تهكم
2116,اللي ماخذين لقاح كوفيد كيف اموركم الحين فيه احد منكم تحول الى زومبي :sweat_smile:,تهكم
2117,تاكدت ان الحر يلعب باخلاق الاوام بطريقه غير اخلاقيه:grin::joy: اللهم اجرنا من حر جهنم زومبي حر شمس الشمس الساطعه :grin: الامارات ابوظبي مصفح,ليست تهكم
2118,تمثال شمعي جديد ل بيونسي في بولندا :joy::sweat_smile: مو ب تمثال ذا زومبي,ليست تهكم
2119,كولد وار زومبي اثنين نحل اللغز,ليست تهكم
2120,زومبى,ليست تهكم
2121,فيه احد للحين م حل لغز ماب ماور دير توتن علمني اساعدك زومبي كولد وار,ليست تهكم
2122,يضحكك كود زومبي,ليست تهكم
2123,يمثلني ب اتخاذ القرارات :grinning: بلاك اوبس زومبي,ليست تهكم
2124,هه كلنا اصبحنا زومبي,تهكم
2125,الحمدلله حسب ما عم شوف تعافينا من قصه رفع الدعم و مشي الحال و رجعنا نمزح ونتمسخر على الوضع مثل قبل و احسن الشعب المرن زومبي,ليست تهكم
2126,طلعو اذا اكلو لحم ملوث بيتحولون زومبي على طول :facepalm:🏽ud:female_sign: ما ادري شلون راح التلوث من بالي,ليست تهكم
2127,كنت انقد على ذا ويكنق ديد اذا كانو جوعانين وشافو غزلان ولاحصان عاضه زومبي وخلوه واقول اغبيياء خلاص حنا نهايه العالم كولو الموجود,ليست تهكم
2128,خلاص ماراح اعدل نومي وبواصل واصير زومبي بعد :dizzy_face:ud:dizzy: وطز فيك يالنوم لاتتعدل :unamused:,تهكم
2129,احلى زومبي ممكن تشوفونه,تهكم
2130,هو مو مفترس بس مره كنت نايمه بغرفتي والاضواء كلها طافيه المهم الا اسمع الطاقه تتراعد اتاريها بسه دخلت من باب الحوش وطلعت لعندي وانا نايمه وتبي تخرج من الطاقه وم قدرت وانا عبالي زومبي يبي يدخل عندي اهخ وخذلك صياح :sob:,تهكم
2131,واخرتها يا زومبي يا اخويا:joy::joy:,تهكم
2132,والله اصير زومبي ولا اجلس عايشه برعب متى يجي زومبي وياكلني,تهكم
2133,بدووخ سمعت صوت الشرطي وتحسبه زومبي والحين قاعده تبكي اكثر :sob::sob:,تهكم
2134,الله ما انا قولت ميت مرا زومبي ومش بنام :joy:,ليست تهكم
2135,هلو زومبي:see_no_evil:,ليست تهكم
2136,هه حتى انا بالحجز فايزر ويوم اخذته طلع ذا شكلي بصير زومبي صدق من ذا الخليط,ليست تهكم
2137,يا زومبي :joy::joy:,ليست تهكم
2138,هو الساينوفاك ده صيني بس متقفل في مصر مش ايه جو العربيات ده بس هما قالولنا كده و المفروض ان فاكسيرا دلوقتي شغاله انها تنتج حاجه مصري بيور بقا دي اللي هتحولنا زومبي بجد :joy:,ليست تهكم
2139,ويقلب زومبي علينا:grimacing:,ليست تهكم
2140,تسلمي ي زومبي هو ده التطبيل❤:joy:,ليست تهكم
2141,دى اسمها متلازه زومبى بعد منتصف الليل :joy:,تهكم
2142,الواد مضروب مطوه في دماغه هما فاكرينه زومبي ولا ايه :thinking:,ليست تهكم
2143,هيبقى زومبي:joy::joy:,تهكم
2144,اذا زومبي عض مصاص دماء مين يتحول اول الزومبي ولا مصاص الدماء,ليست تهكم
2145,اكيد هيطلع زومبي:joy:,تهكم
2146,كلمه لزوجتي المستقبليه معك سلف ريال ل الراتب :rofl::rofl:  امزح,تهكم
2147,جيب معاك بلايستيشن اطلع فانكوفر واستلمها منك لما توصل :joy: امزح,تهكم
2148,من هذا كل ما قريت الا اماني :sweat_smile::sweat_smile::hand_over_mouth::hand_over_mouth: امزح مسائك ورد :heart_eyes::heart_eyes:,ليست تهكم
2149,:smiling_imp: تحران بيوم بحسابك امزح,ليست تهكم
2150,انا شاكه بان الكوره حتجي على عارضه المرمه مو بالمرمه فاحس ان هاذي الصوره فوتشوب:rofl::rofl:امزح,ليست تهكم
2151,خيتو ع ايش تشهد لوا ازعل منك نونا والا جيجي حرام مااهتم واللي يزعل من لاشي يرجع بلاش امزح معكن الله لايجيب الزعل:running::running:,ليست تهكم
2152,في السعوديه القبض على اشخاص مطعمين التهمه الصلاه جماعه داخل الحرم كما السابق وقد شدد احدهم ان كل شخص عليه الالتزام بالتباعد الكوفيدي بالاضافه الى مراعاتهم بمساله التباعد بالصلاه حرصا على سلامتهم وقد هدد احدهم باتخاذ الاجراءات الازمه بحال رص الصفوف او الاستقامه امزح,ليست تهكم
2153,يكفيتس ب انتس لو تمرين بايه درب تسمي عليتس القاع وعيون خلق الله 🕊 امزح :running:🏻ud:male_sign::running:🏻ud:male_sign:,ليست تهكم
2154,اللي يصحون ومايلاقون شي دزو لي ارقامكن خاص :joy::joy: هيه امزح,ليست تهكم
2155,لا والله امزح … وجدا اسف ما شفت منك شي :bouquet:,ليست تهكم
2156,انتي من اصحاب الي يعملو الحلبه فوق المرق امزح :joy::joy:,تهكم
2157,اعتقد بتلقينه في غابات الامازون او ادغال افريقيا :sweat_smile: بس لا تستخدمين قدامه الجوال :grin: و اهم شي تسكنين معاه في بيئته و ما تجيبينه للاسواق او المولات او تسكنينه في مدينه :satisfied: امزح,ليست تهكم
2158,الي يمدح نفسه كذاب ورينا و نحكم :rofl::zany_face: امزح,تهكم
2159,امزح,ليست تهكم
2160,هذا الوباء ما راح ينتهي علينا ان نتاقلم معه كما فعلنا مع النساء امزح,تهكم
2161,خمسه اعجابات و عشره ريتويت او تشتارك فقنوات التلغرام :joy: امزح,ليست تهكم
2162,دي لي امزح بس هي تعبر عن وضعي الحالي بصراحه^^ سمعتوها من قبل والا لسه اسمعوها,تهكم
2163,قاد في مايو الماضي سياره كهربائيه من نوع فورد بايدن حينما اقول ان السيارات الكهربائيه هي المستقبل فانا لا امزح,ليست تهكم
2164,امس تاريخ واليوم الاحد يمكن تقول :joy::joy: تقبل بروح رياضيه امزح,ليست تهكم
2165,وين كنت وهم قدلهم يومين ماخلوا ولا بقوا علي:joy::joy:امزح لكن وجهه نظرك هي الاقرب لي وعلى العين والراس كلكم والله:hibiscus:,ليست تهكم
2166,جده ولا مكه:rofl: امزح,ليست تهكم
2167,لا القيمه للهاش مو للصوره :joy::broken_heart: امزح,ليست تهكم
2168,نفسيتي محتاجه روئيه شيمن الازرق الي يريح النضر والقلب والبال كالتيشيرت :wink::blue_heart: او حافصه جهاز :joy::blue_heart: او اي شي:joy::joy::blue_heart: امزح الهلال,ليست تهكم
2169,لحظه نستوعب تعديل استوعب انه يوم ميلادي بعد اسبوع الاحرى باقي قليل :walking::sparkles: واو رح اصير عجوزه امزح بس فله دوت كومಠಿ ಠ,ليست تهكم
2170,اطالب المسؤولين عن هالجانب في هالبلد العادل ان يحتذوا ب الامير علي يمثلنا ويقوموا بحفله انتحاريه عالجسور العشرهامزح بليز هه المهم انا لاعب كرهسله سابقه فعشان هيك موقفه معهاوصراحه كنت افكرها المغنيه قديمه اسمهاروبي وعامليتلها عمله للفت الانتباه وبتردحولها هه,ليست تهكم
2171,مساء الخير على الجميع:nail_care:🏼:sparkles: مساء اتخاذ قرار حازم وجازم باني انسحب من عالم البشر والاخلاق الرفيعه وتربيه امي الجميله هذي بخليها على جنب شوي وبرجع لها بعدين سانتقل الى عالم اس اس انا السعبان من حابب ينضم لي هل هناك اي سعبانه تتابعني وتعرف تلعب بالحبلين احتاجك تعطيني دوره :joy::zany_face:امزح,تهكم
2172,من هذا ابن المحضوضه :hand_over_mouth: امزح,تهكم
2173,قد اشترت سياره من ظهرهم والان رجعت تحذر :joy::running: امزح,تهكم
2174,اول شيء شكرا ل مشاعرك الجميله في نهايه دوري الابطال احتفلنا على قلب واحد بخصوص قمه انجلترا باذن لله نقاط من نصيب تشليسي في حال اذا خسر تشليسي لاسمح الله انا اول من يعطيك بلوك :grinning: امزح انت حبيب الناس كلها راح اتصل عليك و اقولك مبروك :heart:ud:fire:,ليست تهكم
2175,الله يوفقج يارب:hearts::pleading_face: سويلي العاب تلبيس بنات:rofl::sob::sob: امزح,تهكم
2176,حنا نتهاوش وراعي المول جالس يعد فلوسه بقصره في موناكو الي احلا و اكبر من المول وشاريه مليون ومعاه يخت وبوقاتي هديه امزح لحد يقولك مصدرك ان عنده قصر بموناكو,تهكم
2177,طول عمري احسب اني صبور لكن اليوم اكتشفت اني مزلقان امزح,تهكم
2178,تقولي ماعرف الحب وانتي غرقانه فيه كلام قوي هذا :raised_hand: امزح,تهكم
2179,لكل اتحادي مبرووك لكم الخساره :joy::joy::facepalm:🏻ud:female_sign:امزح الاتحاد الرجاء,تهكم
2180,ليش بانيغا يلعب مو انطرد قدام الهلال امزح,ليست تهكم
2181,عندما اريد اسعاد نفسي اتخيلك معي :blush: امزح :hand_over_mouth:,ليست تهكم
2182,واضح انه صور بنات الانمي تثبت انك imp امزح,ليست تهكم
2183,البدون سبب مارح اكمل :sweat_smile: امزح,ليست تهكم
2184,برشلونه يقدم عرض ل اشرف بن عياد مكان المتخاذل والهارب عقد يمتد لثلاث سنوات ويلعب بالرقم مزحه,ليست تهكم
2185,رابطه حكما السنان تعلن انها لن تستقبل المرضى لي ريحه تمن بنزين :joy::joy: خففو سحب جرصتونا مزحه,تهكم
2186,حتى للناس الي بيحبوك اصبحت تغضين الطرف عنهم :wink: مزحه,ليست تهكم
2187,بس بدك تاخد تويت مني استاذن بالاول :joy::joy: مزحه,تهكم
2188,مزحه :see_no_evil::joy:,ليست تهكم
2189,يا خالد الشنيف لا تكن ما سلمان المطيويع بتاع مزحه تاكد بنفسك وخلك من مصدر ازرق مدسوس,ليست تهكم
2190,غصبن عنك بعد مزحه طرفه,ليست تهكم
2191,انا اقول كولومبس يشجع الرجاء الليل ضد الاتحاد طلع مغربي :joy::joy::smiley::smiley: مزحه,تهكم
2192,انت تستحق المزيد من الحب لانك كريه طرفه مزحه,تهكم
2193,حسابي اشبه بحساب جندي بحركه طالبان :rofl: الاتصالات صفر الرسائل صفر طلبات الصداقه صفر اللهم ان كان سحرا فابطله :sweat_smile: مزحه,تهكم
2194,مزحه والله مزحه,تهكم
2195,الابراج المائيه :grimacing:f :arrow_down::arrow_down::arrow_down: امزح مزحه :joy::sweat_smile::sweat_smile:,تهكم
2196,بعد قرار الدبيبه البنات في ليبيا مزحه,ليست تهكم
2197,اشقاقات في بيت الحريري بعد كلام سعد الحريري :rofl::rofl: مزحه,ليست تهكم
2198,مزحه وا تاكلي الجاجاه اقض على الاشرار الذين اضروا بالغابه,ليست تهكم
2199,العلماء المجتهدون بالفقه يستوطنون المدن الكبيره كالشام والقدس ويتحدثون باحكام البيوع في الزراعهوانواع الثمار والاشجار والبذور والفاكهه والزيوت والمغيبات والتوابل ارض مباركه يزرع فيها الاشجار المثمره ولو كان هؤلاء في العبدلي او الوفره كان ما نقل من فقهم الا ربعه او عشره:wink: مزحه,ليست تهكم
2200,بعرف كيف اسكتك :joy: مزحه بمزح,ليست تهكم
2201,يمكن مزحه :zany_face::zany_face: تخبر هم بالفلوس يحبون يمزحون,ليست تهكم
2202,اذا انتي قهوتي :slightly_smiling_face: مزحه هه:sweat_smile:,ليست تهكم
2203,يشحدون التشجيع بعد ميسي :joy: مزحه,تهكم
2204,نكت ضحك اكسبلور لايك فولو تحشيش قصف وناسه محشش مزح طقطقه كوميديا فكاهي reels tattory وزاره الصحه تحرم البدون العام الدراسي الجديد,ليست تهكم
2205,ميمز مزح eact متعه ميمز العرب,ليست تهكم
2206,يا ناس معقول لو احب اعقل :joy::broken_heart: مزح,تهكم
2207,لا حرام عليك مجرد مزح,ليست تهكم
2208,حك علي اوك بنياتي سرسحو د :baby_bottle::revolving_hearts::pleading_face: السماح بالجوالات في مدارس العراق مزح,ليست تهكم
2209,موسي الخنيزي مزح الحين هذا مزح,ليست تهكم
2210,uote weet | وقف ال وشاركنا البارت المفضل لك من احد اغاني البوم مزح :musical_note:,ليست تهكم
2211,مزح المزح بالدين بالوزن بالشكل بالاهل بالفقر دي ما دخلها بخفه الدم دي قله تربيه وحيونه,ليست تهكم
2212,عندما تعامل حبيبتك بشكل جيد سيكافئك الله بواحده اخرى:heart: مزح,تهكم
2213,مزح,ليست تهكم
2214,اتمنى ينال اعجابكم fd:notes: ahlam nghami البوم فدوه عيونك البوم مزح,ليست تهكم
2215,وش فيك زعلت كان مزح :joy:,ليست تهكم
2216,ولوو عنديبكم حتى النيزك طلعتو مخبيينو :flushed::flushed::joy::joy: لا والله ما حدا سبقكم عليها هيدي :facepalm:🏻ud:male_sign::joy::joy: مزح ما حدا ياخدها بجديه :smirk:,تهكم
2217,قريبا خلال الشهرين القادمان البوم مزح سوف يصدر على شكل سي دي :cd::musical_note:,ليست تهكم
2218,متى تعطون البوم مزح حقه,ليست تهكم
2219,طالبان مزح,ليست تهكم
2220,الله على الابداع :heart_eyes::hearts: اخر لقا موعدنا الاخير البوم فدوه عيونك البوم مزح احلام الشامسي انغام,ليست تهكم
2221,سلميها واسلمي مزح والله تحملوني بدايه القات,ليست تهكم
2222,يا رب اطلع من الناس الي بتحكي نقصت كتير علامات وضلت تعيط وبالاخر اجيب معدل عالي وصحباتي والناس يفكروني منافقه عادي اصلا انا بحب اكون منافقه ما خصكم فيني:dancer::dancer: مزح :joy::joy::purple_heart:,تهكم
2223,المنادي من على اسوار نجد اخونا الغالي يقول لكم عملت مسحscan لمباراه النصر ضمك وطبعت نتيجتها مباراه نار وشرار ورعد وبرق ومباراه مجنونه باذن الله فوز نصراوي بثلاثيه ماذكر اعلاه مزح طقطقه على حقين التوقعات فالغيب لايعلمه الا الله,تهكم
2224,اذا الموضوع جد فتخيل عقليات البعض الي ممكن اطلب يد وحده بمجرد تغريده ولاعرف عنها شي واذا مزح فالمصيبه اعظم وصل الحال الى ان اقول لوحده بتزوجك من باب المزح فقط,ليست تهكم
2225,علمينا السالفه كامله وش قلتي ووش قال ووش نمط الحياه اللي موعاجبه هه مزح,ليست تهكم
2226,نفسهاا اللهم صيغه الكلام متغيره اللي مزح لو غاب فقد هوذا مسكين بلا مزح وانتي دعلانه عليه خاطرش مكسور :stuck_out_tongue_winking_eye:,ليست تهكم
2227,البوم مزح البوم ثري بالكلمات الاغاني اللي فيه عباره عن دروس حياه و حكم وشعراء كبار مقدمين كلماتهم لانغام و هم متطمنين انها بتمثل الكلمات باجمل اداء:heart: اغاني ملياانه كلمات تشد المستمع ومصطلحات قويه وجديده,ليست تهكم
2228,نرجو من الجميع عند البدء السيد بكلمته عدم اطلاق النار بالهواء بل باتجاه خلده وشويا:joy::joy: مزح,ليست تهكم
2229,اغنيه رائعه لا اداء ولا لحن ولا كلمات فيها نمط وفكر جديد من الحق الجمهور عليكم ترجع والحل بسيط اعملوا تنازل ثاني ابطى علي مزح,ليست تهكم
2230,شنو ودكم انغام تغني من البوم مزح بالحفله اليايه,ليست تهكم
2231,نبي البوم مزح كامل :fire::musical_note::hearts:,ليست تهكم
2232,ما يبي لها سؤال طبعا مزح :heart:,ليست تهكم
2233,مش انا يا غالي يسعدلي مساك :joy::facepalm:ud:male_sign: رفقاتي بالمواقع الجهاديه ما خلفتهم امهاتهم مزح,ليست تهكم
2234,اصاله لاتستسلم مجيد انغام مزح رابح مرحبا ancy وشكرا,ليست تهكم
2235,كلهم البومات رائعه تعبو واجتهدوا لكن البوم مزح من العيار الثقيل و انغام بدعت وفاقت الوصف,ليست تهكم
2236,البوم مزح كله اكيد :heart: وفي اغاني من البوم فدوه عيونك خطاك اللاش | تسولف عبرتي | لايروح الليل | حزين | ابن التراب :heart_eyes: | لسه محتاجه اسمع البوم عالم موازي بروقان :smiling_face_with_three_hearts: لان الفنان عبدالمجيد عبدالله بحبه من وقت ياطيب القلب,ليست تهكم
2237,البوم انغام مزح :hearts::notes:,ليست تهكم
2238,والله عيب نقارن فدوه عيونك مزح بالهزل الي موجود بالصوره,ليست تهكم
2239,الله يسامحك بس :pensive: وبدك ابناء الاردنيات يشاركونا حضارتنا وتراثنا وجمال بلادنا :flushed::joy::joy: صباح الخير مزح,ليست تهكم
2240,عالم موازي ل فدوه عيونك & لاتستسلم & مزح,ليست تهكم
2241,مگه میشه ادم انقدر بی دقت باشه مختار رو ول کردی برات درس عبرت نشد که حالا سر از سفارت انگلستان دراوردی فریدون مزاح,ليست تهكم
2242,خوبه پس سرپرستی حل شد مادر میتونم صدات کنم پس:joy::joy: مزاح,ليست تهكم
2243,ها اما مغزتو گذاشتی سر جاشا:sweat_smile::joy::rofl::rofl: مزاح,ليست تهكم
2244,مزاح,ليست تهكم
2245,مهندس نتیجهucای که من از این جلسات شما گرفتم این بود که اگر به جای صبحانه نهار یا شام میدادین این چند سال الان احتمالا بجای وزیر رییس جمهور بودین خلاصه از صبحونه عدسی بیش از وزارت در نمیاد گویا مزاح,ليست تهكم
2246,ولی خب قابل درمانه :joy::joy: مزاح :bouquet:,ليست تهكم
2247,داداش یجوری میگی خیلی سخته انگار پوشیدی قبلا :joy::joy: مزاح,ليست تهكم
2248,:joy: فالو بک منظورته دیگه :joy: مزاح,ليست تهكم
2249,مزاح بود سربلند باشید یا علی مدد,ليست تهكم
2250,✌قلو مزاح,تهكم
2251,بله بله مزاح,تهكم
2252,پس اون دقیقه رو امشب برای من دعا کن مزاح,ليست تهكم
2253,ازبس فوضولن:joy::joy: مزاح,ليست تهكم
2254,ما از اولشم میدونستیم:smirk::joy: مزاح,ليست تهكم
2255,عورتوں کا دل جیتنے کے معاملے میں عامل حضرات ڈاکٹروں سے زیادہ چالاک ہوتے ہیں ۔ انکا ایک جملہ ہی کافی ہوتا ہے کہ اپ کو نظر لگی ہے مشتاق احمد یوسفی ادب مزاح اردو زبان,ليست تهكم
2256,مزاح بود,ليست تهكم
2257,حالا یه خاطره از مدرسه اردیبهشت امسال بگم:walking: میم فرستاده بودن:walking: مزاح به خود نگیریم,ليست تهكم
2258,ما همیشه موقع عصابیت :joy::joy: خوبیم مزاح,ليست تهكم
2259,بخواب اون داره از استاد دفاع میکنه مزاح,ليست تهكم
2260,اذا قطعه العلاقات مع المغرب من اين سنحصل على الماريوانا :four_leaf_clover: مزاح,تهكم
2261,مشخصه کاملا:facepalm: انگار نه انگار اکانت شماس انگار اکانت علی اقا جاویدانه :expressionless::walking:🏻ud:male_sign: مزاح:sweat_smile:,ليست تهكم
2262,اولا مرد نباید خوشگل باشه درثانی ماها زشت نیستیم شما چشاتو بشور:unamused: مزاح,ليست تهكم
2263,يستبدل رادار السرعه بوميض اضاءه هاتفه فلاش نيوز الخبر بالمختصر flashnewsae طريق مرااقبه بريطانيا مزاح سائق سياره توعيه طريق هاتف فيديو surveillance camera observation ritain joking lighting driver car awareness road telephone,ليست تهكم
2264,قیمت دلار و قیمت هویچ دوستان لطفا اگه دلار دارید برید هویج بخرید کمی سود کنید خیرشو ببینی:joy: مزاح,ليست تهكم
2265,تم کسی اور کے کندھے پر میں کسی اور کی بانہوں میں یہی ہوگا یار اگر ہم دونوں یوں ہی لڑتے رہے مزاح,ليست تهكم
2266,:joy::joy:شاهد از غیب رسید خوبه والا یه توییت میزنید خواستگارucپیدا میکنید چی میخواید دیگه :joy::joy: مزاح,ليست تهكم
2267,یه کلامی از فقیه وارسته و علامه دهر محمد امینی بشنوید؛ شاید بکار هممون بیاد کاش اونقدری که عجله داریم وقتی شارژ گوشی به درصد رسید هر جوری شده پریز و کابل رو مهیا کنیم؛ برا نماز هم همینطور عجول باشیم خدا همینو میخواد مزاح :slightly_smiling_face:,ليست تهكم
2268,بیخود انه مسخرانه مزخرفانه :v: بی رحمانه مزاح,ليست تهكم
2269,حضرت ادم سیب نمیucخورد:facepalm:🏿ud:male_sign: مزاح,ليست تهكم
2270,فک کنم کسی که تا بچه ام زاییده باشه انقدر تجربه نداشته باشه :joy::joy:مزاح,ليست تهكم
2271,از یانگوم بپرسید :grin: مزاح,ليست تهكم
2272,به نظرم با توجه به اینکه درباره قیمت این چیزها میخواید با نظرسنجی در توییتر کار رو پیش ببرید کلا صرف نظر کنید چون با احتمال بسیار بالایی خدایی نکرده ورشکست میucشید مزاح,ليست تهكم
2273,چه خر توخری شد :joy::joy: مزاح,ليست تهكم
2274,اگه تهش اسم شاعر رو نزده بودی میخواستم بنویسم حاجی برو بچسب به همون مداحی؛اینده بهتری داری :grinning::rose: مزاح,ليست تهكم
2275,خانمه پشت فرمون بود چراغ سبز شد نرفت زرد شد نرفت قرمز شد نرفت افسره رفت بغلش گفت خانم شرمنده ما همین سه رنگ و داریم پسندتون نشد :joy::joy: مزاح,ليست تهكم
2276,اواتار جدید مبارک هرروز جلف تر از دیروز:grimacing: مزاح,ليست تهكم
2277,امیر جان ارزوی عمری طولانی برا شوهر خاله کار افرینان خاله قصد تجدید فراش داشت دست ما را بگیر ucمزاح,ليست تهكم
2278,جیسے ساس کسی کو پسند نہیں مجال ہے ایک دو لوگوں کے علاوہ باقی سب کی ساسیں سالم موجود ہوتی ہیں مزاح,ليست تهكم
2279,المهم اادعوه قرربت :person_with_veil: ان شاء الله ♥ قوليلي واش هو كادو تاع العرس و اللي ما زال ما خمم يرسلهم حيين :wink::see_no_evil: يسعد مساا احلى :hibiscus:الصديقات و الاصدقاء :hibiscus: مزاح ريمه الاعدام لقتله جمال,ليست تهكم
2280,بستگی البته به عطر فروشنده هم داره مزاح,ليست تهكم
2281,داداش کی بیاییم برای انتخاب نوشابه :joy::broken_heart: مزاح,ليست تهكم
